,text,class
0,reuter reuter latest terrorist bomb north africa home grown inspir al qaeda actual organis bomb shook algier rip fa de prime minist offic week kill peopl suggest worri resurg countri islamist milit sinc rebrand al qaeda offici arm maghreb week counter attack bomber morocco rais similar question probabl differ sort terrorist presumpt yet al qaeda effect activ joint north african front though would sure like first time year algeria capit attack scale earlier year terrorist shoot tunisia morocco week four suicid bomber die casablanca corner secur forc sever terrorist plot europ link north african milit america worri vast ungovern space sahara desert could provid sanctuari jihadist moment biggest danger algeria milit harden brutal insurg follow islamist elect victori annul armi least peopl kill civil war dwindl entir die salafist group preach combat better known french acronym gspc emerg insurg forefront hard hit algeria secur forc lose fighter thank govern amnesti group long alli al qaeda last autumn announc formal merger anniversari septemb th attack america ayman al zawahiri al qaeda deputi leader declar union would thorn neck american french crusad alli januari gspc renam al qaeda organis islam maghreb echo late abu musab al zarqawi call terrorist group iraq rumour libyan islam fight group anoth al qaeda alli set join union western monitor say caus rift want fight muammar qaddafi regim exil hide pakistan want join al qaeda larg propaganda reviv flag spirit north african insurg open new front global jihad two bomb attack foreign oil worker algeria hint group adopt al qaeda polici kill foreign week bomb algier keep gspc tradit hit algerian state still al qaeda method evid seven near simultan bomb secur forc februari week appar use suicid bomber rare tactic algeria mani north african join iraq insurg veteran appar return wage jihad home europ jihadist stir next door morocco far seem less profici algerian cousin last year king muhammad end militari conscript reorganis much secur apparatu islamist infiltr arm forc trial peopl accus tri overthrow monarchi due begin may separ secur forc unravel web milit said plan suicid bomb attack foreign ship hotel polic build polic got lucki break last month group suspect leader got row owner internet caf casablanca appar object read jihadist web site lock door tri call polic follow week polic arrest suspect earli april th surround safe hous citi one man blew wit said cloud red mist second shot dead fumbl suicid belt two other escap later blew gang leader sever arrest freed prison pardon jail follow wave suicid bomb kill peopl morocco commun minist say bomber seem extern link realli appear amateur group sinc explos found cach discov basic home made household item mayb scale al qaeda involv maghreb still uncertain though ideolog wage jihad west appeal strongli al qaeda bomb arab civilian target instanc jordan stir widespread local revuls maghreb,africa
1,reuter reuter zimbabwean opt hardship south africa rather hopeless home dirt road weip farm area south africa bank limpopo river km mile west busi beitbridg border post car wait unemploy south african tri make bit money drive zimbabwean either local employ freshli arriv across river wherev want go busi hard mani new immigr money also risk arrest polic transport peopl without visa polic car duli arriv bystand hope ride quickli vanish bush two friendli policemen stop vehicl drive past check passeng paper six illeg zimbabwean pick usher polic car driven militari base south musina nearbi town deport within hour nick van der vyver head offic geneva base intern organis migrat zimbabwean side beitbridg say far year averag deport zimbabwean cross threshold everi day figur higher last year probabl far smaller number get caught probabl back south african side border within day seal km border almost imposs add thousand cross legal direct number say much desper determin impoverish zimbabwean flee countri collaps around zimbabwean thought left homeland popul south africa mani alreadi friend relat econom opportun presum best emigr caus problem far beyond border time year limpopo dri make easi cross foot raini season zimbabwean dream better life drown surg water occasion kill crocodil almost danger offer help cross money often rob blind wors cross border begin problem south africa make live hard find job farm minimum monthli salari rand much still ten time teacher salari zimbabw unoffici exchang rate mani profession unabl surviv home unemploy inflat head accord imf sever shortag basic item meat sugar cook oil also come associ zimbabwean teacher johannesburg tri help member paper profession certif advic job doctor ncube chairman believ zimbabwean teacher south africa limkani taught secondari school matabeleland haul box warehous rand day came south africa anoth high school teacher speak one bedroom flat share seven other work permit mean among lucki one struggl win certif teacher south africa need letter zimbabwean author say stationeri mani even afford hous central johannesburg methodist church becom refug peopl zimbabwean night build burst peopl sleep everi inch floor must share six lavatori zimbabwean salesman live year find occasion job secur guard rand day like zimbabwean south africa send groceri money home wife children whenev vast major leav zimbabw make end meet escap polit persecut piano year old offici opposit movement democrat chang mdc show multipl scar face leg knee beat say receiv polic pro govern youth militia fled opposit gather march th mdc leader arrest later beaten hope obtain polit asylum even success take year wife four children remain zimbabw mani zimbabwean say go back thing improv home meantim though zimbabw lose peopl south africa problem hand unemploy rate closer measur hardli absorb flow local feel zimbabwean compet scarc job ad crime rate although hard evid support opposit democrat allianc want refuge camp set govern disagre say zimbabwean econom migrant refuge south africa govern heavili criticis hasten end presid robert mugab disastr regim one excus push harder fear precipit crisi zimbabw would advers affect south africa hard escap conclus damag alreadi done,africa
2,kurd say still want week death sentenc ali hassan al majid architect anfal spoil campaign iraq kurd may kill mark end affair month evid gass deport mass grave iraq special tribun found chemic ali saddam hussein cousin wide known guilti variou heinou crime includ significantli kurd genocid nechirvan barzani prime minist iraq kurdistan region said tribun definit anfal genocid first step new campaign militari oper recognis genocid rest arab world well intern bodi un kurd long sought recognit anfal well separ acknowledg crime ga attack town halabja odd peopl kill mid new york base lobbi human right watch hrw document anfal crime includ raze plu kurdish villag tri bring issu un secur council big countri back move week decis iraqi court unlik give kurd momentum need mani outsid question independ fair special tribun baghdad unclear much support iraq kurd would get arab compatriot campaign win recognit mass crime mani iraq sunni arab say privat kurd deserv got fighter side iran war iraq argument use mr majid trial end earli kanan makiya iraqi shia arab book call cruelti silenc lambast arab politician intellectu region silenc regim brutal week reaction mutter kurd differ pan arab satellit televis channel cover trial verdict wide comment arab newspap dwelt littl mass murder mr majid condemn,africa
3,politician paid price tell isra unpalat truth abroad reput tireless peacemak home byword polit failur yossi beilin announc decis step head left liber meretz parti next leadership elect spring palpabl sigh relief rival also friend hope still chanc rememb bold statesmanship instead defect leadership mr beilin one first mainstream isra politician push isra accept need give palestinian independ state larg thank seriou peac talk first got go earli israel talk local palestinian leader attempt circumv exil yasser arafat palestin liber organis tuni mr beilin argu youth deputi foreign minist without arafat isra dismiss incorrig terrorist peac talk would worthless back shimon pere encourag secret meet oslo arafat aid two isra peac activist led eventu famou handshak arafat yitzhak rabin white hous lawn stuck view even peac process collaps violent second intifada erupt intern road map follow began stall argu last arafat palestinian leader stand make peac palestinian counterpart launch anoth peac plan geneva accord even intifada rage support isra accord dov weisglass advis ariel sharon popular unoffici civil societi initi one factor prompt prime minist ignor rage likud parti extract israel soldier settler gaza late mr beilin court unpopular speak reluctantli need israel busi third parti rejectionist hama depos arafat old fatah movement control gaza strip dare long hurt polit career palestinian suicid bomb dishearten israel peac camp lost relev labour left head meretz ran ground defenc parti appropri meretz peac agenda partli true neglect core issu social justic civil right allegedli dictatori manag style help contrast mr pere shift hawk earli day dove time mr beilin work shift effortlessli back polit centr israel presid question cannier politician mr beilin perhap israel boldest peacenik miss departur arena perman,africa
4,presid mwai kibaki loth back fraudul elect victori ap reuter ap reuter seem kenya pull nosed violenc earlier week big man complex pull countri back toward disast recalcitr disput presid mwai kibaki eg bloodi mind backer threaten wreck east africa prosper economi increas chanc drawn civil conflict ghana presid john kufuor current chair african union still tri mediat far vain despit concert call peac kenya lead editor businessmen bishop prospect earli compromis look dim earlier opposit leader raila odinga claim cheat victori mr kibaki thank fals count presidenti poll decemb th told orang democrat movement support put plan demonstr order give intern mediat chanc work mr odinga continu insist mr kibaki illeg presid agreement avoid possibl lethal street clash orang secur forc seen breakthrough next day howev mr kibaki respond appar contempt mr odinga climbdown unilater appoint cabinet minist also slap face foreign diplomat thought deal mr kibaki make appoint busi mediat run cours riot broke death look certain least kenyan far kill thousand wound gunfir hack machet beaten stick scorch fire victim kikuyu mr kibaki tribe countri largest richest make local red cross estim kenyan displac nearli ethnic reason worri repris kikuyu gang area kikuyu predomin particularli mr odinga fellow luo may feed fresh cycl bloodsh repris start say senior civil servant fear could see arm forc break tribal faction mr kibaki choic cabinet minist suggest reach oppos parliamentari poll held time presidenti one kenyan sent clear messag disgust corrupt cronyism orang contest seat twice mani mr kibaki parti nation uniti half mr kibaki cabinet lost seat yet sever new minist wide regard venal old guard sever threaten travel ban european union includ britain corrupt alleg among thought encourag mr kibaki give ground john michuki previous ran intern secur charg road georg saitoti goe educ handl intern secur mr michuki involv attempt mr kibaki first term use foreign mercenari stop local media publish stori organis crime pair promin suggest mr kibaki readi use repress stay power mr kibaki also fail break discredit predecessor daniel arap moi three whose son lost seat parliament mr kibaki put sever mr moi favourit cabinet includ uhuru kenyatta son kenya found presid also name kalonzo musyoka kamba came distant third presidenti race vice presid hope win parti much need vote parliament daili nation kenya biggest newspap reckon countri darkest period sinc independ violenc ceas sinc elect result tension worsen incendiari text messag one fals said busload luo women children blown kikuyu western kenya secur forc bare cope without resort violenc contain opposit protest peac nairobi day poll enough gun raila peac went standard chant land number orang support prison protest near smart yaya shop mall mile central nairobi seem pois loot build start throw stone window other pull petrol bomb sisal sack hot head spoke take fight mr kibaki bush war liber ever seen someon cut leg head ask youth brandish rusti spanner kikuyu gunfir threaten break william ruto orang leader persuad mob back violenc spread day nairobi slum seal secur forc caus widespread hunger kibera citi south side littl food reach price poor could possibl afford children collaps barrag tear ga enough water wash eye corps lay unclaim fetid dust shot other slash ethnic cleans went despit sieg thousand kikuyu fled tini shack escap nearbi ngong forest dirti bundl meagr possess take refug nairobi showground beyond kikuyu tri enter kibera drag beaten luo violenc anyth wors upcountri gang young men kalenjin group turn kikuyu neighbour rift valley mani death includ burn death kikuyu church occur around town eldoret whose kikuyu fled take buse lorri south nakuru govern protect conspicu quietest bit countri kikuyu highland stretch north nairobi slope mount kenya central provinc voter offici said plump mr kibaki mainli kikuyu town thika luo work govern offic fled sure come back say district commission situat worst coffe estat isol farm offer protect poorer luo still work thika live harmoni tribe makeshift settlement edg town say anyth loud say young luo problem kikuyu arrog feel right rule unsurprisingli kikuyu view differ civilis say kikuyu mini bu driver market place applaus friend far instabl cost countri billion say financ ministri cost borrow abroad like rise overvalu kenyan shill fall tourism alreadi badli hit foreign aid may cut back plan privatis get greater scrutini may falter may enough money keep mr kibaki promis free secondari educ break would sore undermin kenya neighbour hurt sever south sudan uganda landlock reli kenya road port mombasa trade outsid world uganda particularli jitteri presid yoweri museveni want kenyan troop protect oil en rout ugandan border say uganda must build oil termin lessen depend mombasa kenya big men refus compromis countri reput beacon stabil sea region turbul tatter,africa
5,jacob zuma presidenti hope reuter reuter parti man countri deputi presid jacob zuma rough year sack presid thabo mbeki financi advis schabir shaik convict fraud corrupt follow year tri rape acquit face charg fraud corrupt case kick court nation prosecut author may still anoth go veteran polit leader ridicul vilifi written mani polit finish unfit rule would buri career mani politician yet surprisingli mr zuma still deputi leader rule african nation congress anc parti remain front runner win presid parti elect due decemb would make virtual shoo south africa next presid mr mbeki goe home rich formerli white neighbourhood johannesburg feel laid back man appear local music play background peopl casual come portrait paint goat skin tower room mezzanin wear eleg suit laugh often mr zuma engag without familiar well articul impos yet friendli bruis past year show offer guard care answer unlik mani anc leader mr zuma born poor famili kwazulu natal receiv littl formal educ take odd job help widow mother make end meet ad year polit prison exil zambia swaziland mozambiqu apartheid partli explain popular among anc rank file home among ordinari south african feel one eas crowd ralli often compar favour stiff cerebr style mr mbeki mr zuma join anc late still teenag rose rank becom head intellig parti underground abil listen bring peopl togeth instrument put end violenc anc larg zulu inkatha freedom parti success appli negoti skill burundi year later scandal investig relat govern arm deal late still hang lengthi saga far translat trial could either confirm accus put rest mr zuma argu unfair attribut much support within anc way treat critic argu recent shaik case rape trial highlight best seriou laps judgement damag admiss court unprotect sex hiv posit woman taken shower limit risk infect met outrag disbelief mani especi mr zuma head govern offici anti aid campaign mr zuma believ court case tarnish reput support media damag imag broader public deliber made joke say bitterli ardent support found within eclect crowd disgruntl anc trade union member go one step maintain victim polit conspiraci worri whether mr zuma primari polit talent say whatev peopl want hear regardless consequ accus gay bash comment made speech tradit zulu valu said misunderstood apologis also concern support mr zuma enjoy trade union left anc could lead shift econom polici becom presid appar outspoken gregari anc deputi presid disciplin parti man anc decid parti view becom view say ad one critic thing anc uniti collect leadership recent anc polici confer broadli endors current govern econom direct underpin good macroeconom perform may explain busi circl seem worri prospect zuma presid may also true mani believ south africa next presid anc branch start debat choic nomine parti leadership mr zuma dismiss question whether would accept nomin characterist argu never refus job anc ask,africa
6,syria find hard cope flood refuge iraq reuter reuter damascen surviv job moment lead question whiteboard english lesson iraqi refuge commun centr sayyida zaynab suburb edg syria capit damascu student expect request person data come week syrian govern un carri censu count fled neighbour iraq syria taken lion share iraq refuge well half probabl sunni shia mayb christian jordan thought account anoth one know exactli syrian survey assess need refuge effect host countri citizen mani refuge run save slip poverti sometim crime prostitut count difficult camp would easier say kristel youn refuge intern first time un histori urban crisi huge proport say peopl difficult see speak arab look pretti similar syrian almost ghost popul sayyida zaynab near shia shrine zaynab prophet muhammad granddaught street teem iraqi shop taken iraqi restaur bakeri bagdadi sic sell iraqi special unknown syrian travel agent offer trip border syrian pound iraqi may move area alon put strain water electr suppli well school syrian arab red crescent togeth offic un high commission refuge unhcr open clinic cope influx sick iraqi insid wait area pack dr akram al hasani syrian orthopaed surgeon examin basra man still suffer arm wound shot four year ago mani trauma victim say larg proport children congenit problem among syrian mainli christian district jaramana clinic deir ibrahim khalil convent equal wide rang problem depress depress depress say sister malekeh greek cathol nun sad psychiatrist start two month ago accept come clinic start come censu said christian iraq figur shrank saddam hussein demis began target mainli sunni group link al qaeda fled anglican churchman say iraqi christian live outsid iraq left behind intern aid worker queu work syria reliev burden un agenc red crescent eight chariti includ islam relief norwegian danish refuge council negoti month start project foreign ministri given approv must work umbrella local red crescent slow reach agreement variou group ministri social affair labour overse local ngo say syrian one work mainli syrian moreov syrian attitud iraqi harden number overwhelm local servic govern also worri cost provid extra popul heavili subsidis bread fuel good unhcr manag regist refuge fraction arriv still trickl despit new rule effect close border certain favour categori applic lorri driver businessmen academ engin allow occasion except sick,africa
7,reuter reuter america agonis pitfal stay iraq leav america two fire stay iraq bleed death leav lose everyth said ayman al zawahiri osama bin laden deputi right america extract trap america senior command iraq gener david petraeu ambassador baghdad ryan crocker brief congress state war septemb th onward find capit divid much congress decid war lost troop brought home other believ gener petraeu surg start work politician danger lose war armi begin win four year win cours longer mean architect invas hope presid georg bush aim rid iraq weapon mass destruct wmd also liber dictatorship creat pro western democraci heart arab world high hope burn ash saddam dead iraqi vote freeli present govern wmd govern chao countri ravag violenc occup iraq becom recruit sergeant train ground al qaeda civilian death toll contest almost certainli exce american soldier nearli coalit soldier die seriou debat therefor victori defeat mitig consequ disast alreadi taken place violenc iraq distribut evenli north kurd carv autonom larg peac enclav see articl although potenti explos conflict statu kirkuk four south eastern provinc violenc either direct small british garrison port citi basra part turf fight shia militia badr brigad mahdi armi affili shia polit block parliament gener petraeu surg recent month aim area concentr baghdad intens violent centr countri least three overlap war rage one consist attack jihadist al qaeda american govern forc shia civilian anoth sectarian war sunni shia last mani sunni shia alik attack american simpli seen unwant foreign occupi poll septemb found sunni shia approv attack surg reinforc also import chang tactic gener petraeu deploy extra troop bring grand total signific new plan gener georg casey gener petraeu predecessor aim put iraq armi charg secur american taken charg protect iraq civilian instead move pacifi neighbourhood insurg return wake stay put surg work answer eye behold interview australian august st gener petraeu said new approach made soldier pursuer instead defend put al qaeda balanc least said number sectarian kill baghdad fallen august quarter decemb level number weapon cach find doubl call al qaeda enemi number one mass murder ignit sectarian violenc iran malign involv arm direct shia militia also problem separ assess progress author america nation intellig estim nie said august measur uneven improv secur report approv intellig agenc conclud previous steep escal violenc check robust counter insurg oper continu said nie secur would improv modestli next six month overal violenc would remain high two influenti washington think tanker visit iraq juli michael hanlon kenneth pollack brook institut return somewhat upbeat conclud surg improv secur econom condit area gener petraeu concentr forc american work alongsid iraqi unit seem compet less sectarian commiss head jame jone retir marin gener told congress week armi effect limit interior ministri dysfunct polic riddl sectarian stroke luck anbar even report modest progress need read utmost caution singl best bit news stroke luck probabl littl gener petraeu surg may last sunni domin provinc especi anbar local tribal leader previous support al qaeda repel high hand brutal foreign jihadist work american last year al qaeda control wide area anbar american offic deem provinc lost one safer part iraq septemb rd mr bush paid surpris visit american base anbar cite provinc proof success possibl besid pose photo met iraq prime minist nuri al maliki local sheikh peopl provinc see stand extremist path better life said mr bush peopl anbar iraq promis america abandon friend address audienc back home said kind success see continu possibl maintain level secur fewer american forc turnaround anbar real question durabl anthoni cordesman centr strateg intern studi return visit juli convinc sunni fight american forc will work alongsid shia domin govern offer money statu share power author nie less optimist say sunni resist al qaeda yet turn support govern willing work shia afp afp window futur understand govern yet trust potenti new alli august seven american soldier approach end tour iraq publish op ed articl new york time cast doubt claim progress true arm sunni tribe becom american alli endur question loyalti would lie absenc iraqi govern find work cross purpos us issu justifi fear sunni militia turn american leav anoth reason caution even sunni chang heart keep al qaeda balanc jihadist attack make one three iraqi war surg yet dampen civil war sunni shia despit drop gener petraeu point baghdad death toll sunni still hound mix neighbourhood often nation polic interior ministri riddl shia militia third war continu even america tri reduc sectarian violenc soldier still come attack sunni shia alik start new mission gener petraeu made clear militari mean alon could deliv success polit would play part iraq sectarian parti agre share power wealth way might draw conflict poison america congress set seri benchmark iraq govern ensur oil poor sunni provinc get fair share revenu let former baathist back govern job congress govern account offic report week benchmark iraq met three full four part nie assess next six month mr maliki govern becom even precari sectarian split deepen anbar mr bush rais prospect withdraw troop base calm assess militari command condit ground nervou reaction washington politician calm gener petraeu later confirm tv interview scale back surg probabl howev alway expect america ground forc unpreced strain longer extra troop stay gener worri volunt armi break frontlin unit alreadi serv third fourth battl tour deploy extend month year home recuper british forc serv six month tour two year home continu surg beyond next spring would mean either extend tour beyond month call soldier nation guard reserv elect home american politician hardli less divid iraq month next elect poll matter mr bush never face voter player washington member congress candid presid think littl els democrat congress want pull america iraq soon practic harri reid senat major leader spoke mani earlier year said war lost theori congress forc pull deni mr bush fund continu fight harder sound obviou polit reason democrat simpli cut fund keep american soldier properli suppli equip field tri pass war fund bill string attach demand withdraw certain date need vote senat get past republican filibust woo waver republican democrat elast deadlin carl levin chairman senat arm servic committe sponsor bill call withdraw begin within day leav limit presenc april th say might drop end date allow bill pass anti war activist seeth compromis democrat leader congress retort pragmat democrat vy parti presidenti nomin calcul differ win nomin candid must appeal kind hard core democrat vote primari tend furious anti war pander without reserv bill richardson demand congress de authoris war john edward dismiss mr bush trip anbar week photo op downplay progress note anbar homogen area lack ethnic conflict plagu rest countri demand congress confront presid iraq timelin fund excus other circumspect hillari clinton favourit win democrat nomin said last month new tactic seem work provinc anbar favour begin bring troop home care make detail promis might tie hand may expect win overse america endgam iraq republican presidenti candid tend support mr bush surg among big hitter john mccain say much campaign trail mr mccain call extra troop long sent mr bush convers point view count triumph sort senat arizona loud associ unpopular war make unelect main rival rudi giuliani mitt romney fred thompson emphasis tough terrorist say littl possibl iraq run hope best america cut loss left altogeth actual mean mani month perhap year would take remov forc contractor paraphernalia advoc earli withdraw claim announc departur america would galvanis iraqi politician make pain necessari power share compromis far abl avoid barri posen director secur studi massachusett institut technolog argu year ago occup infantilis iraq polit advoc leav acknowledg condit iraq would probabl get wors decemb iraq studi group chair jame baker lee hamilton suggest america soldier could leav first quarter even though precipit withdraw could lead violenc power vacuum region instabl intervent neighbour mani independ analyst sinc come agre februari steven simon former member america nation secur council produc report council foreign relat argu sinc america would abl stop iraq civil war stay announc plan militari disengag period month mr simon expect violenc becom less intens america begin leav think sunni shia militari stalem would likeli outcom wholesal expuls genocid sunni say shia show littl interest conquer sunni area neither side aircraft heavi artilleri armour reduc citi rubbl inflict truli massiv casualti truli aw recent war congo rwanda fought mainli small arm tobi dodg well respect iraq watcher london intern institut strateg studi argu grow convent wisdom run away hope best would lead lethal free collaps warlord needless say propon earli withdraw characteris approach hope best think take care time manner departur america may still abl shape event diminish chanc leav mayhem behind mr simon plan exampl america would continu give iraq aid train keep troop nearbi could interven genocid realli unfold centr american progress propos phase consolid american troop would withdraw stabl bit iraq first avoid leav sudden immedi power vacuum plan may includ much wish think june senat richard lugar senior republican believ war fail said america ought leav way prevent iraq becom terrorist safeguard region stabil prevent iranian domin area limit damag america reput lot ask withdraw armi basra british forc withdrew week palac airport found incap shape event citi number dwindl level could impos street see articl main afflict iraq sectarian civil war might partit solut june speech mr lugar said iraqi demonstr want iraqi half except kurd howev iraq lend neat divis half popul live four mix citi baghdad basra mosul kirkuk true ethnic cleans continu long enough larg proport minor popul alreadi displac iraq may end break sunni shia kurdish mini state produc outcom consent would requir iraq mistrust politician make heroic decis draw border share oil mr lugar assess iraqi want may anyway wrong seri opinion survey conduct mansoor moaddel affili eastern michigan univers univers michigan institut social research found iraqi arab kurd strong sens nation ident though sectarian conflict increas say would mistak think bloodlust repres widespread sentiment among iraqi whole neither american iraqi secur offici yet found way tame militia iraqi public increasingli drawn toward vision democrat non sectarian govern countri strateg ju jitsu almost advoc earli withdraw stress desir co oper iraq neighbour baker hamilton report said america need reach iran syria america adversari sinc may american diplomat twice met iranian counterpart discuss secur iraq meet far achiev littl american say iran help shia alli iraq attack american soldier iranian deni make secret want humbl superpow iraq deter attack becom commonplac point america invas iraq strengthen iran saddam dead friendli shia govern baghdad mullah tehran show new self confid ayatollah ali khamenei iran suprem leader say america stuck whirlpool sink deeper iran presid mahmoud ahmadinejad add iran readi fill vacuum even leav iraq america would strateg interest energi rich middl east reassur alli mr bush beef american naval forc persian gulf promis provid nervou sunni arab regim israel dollop advanc weaponri come decad top american tri block iran fishi look nuclear programm impos econom sanction directli un secur council ap ap nice know sort anoth school thought analyst see iran countri keen america avoid chao iraq enlist helper william lind free congress foundat argu america get let pro iranian strongman muqtada al sadr establish strong central author iraq would pro american state would least state other advoc american rapproch iran similar open richard nixon henri kissing made china cover leav vietnam attempt strateg ju jitsu howev america bargain posit end depend combin militari strength polit mr bush messag anbar week seem america could escap iraqi trap make look strong get gener petraeu persuad congress plan still possibl,africa
8,iraq kurdish soldier welcom part baghdad afp afp kurd iraqi flag bristl weapon men arriv back three pick truck surround modest hous mix suburb al amel western baghdad black clad gunman jump hammer thin metal gate bad peopl loos shout resid cower insid pack go live among peopl protect men would help put belong back truck safeti sake famili go immedi ultimatum given terrifi sunni arab famili shia gunmen group iraqi policemen also shia leant polic car idli puf away cigarett yard street indiffer crime sectarian cleans perpetr nose scene becom common al amel mani mix district sinc bomb shia shrine samarra north baghdad februari last year mani mix middl class area becom either mostli shia mostli sunni depend side main road live yet occas describ sunni famili manag sit tight hous built year ago palm grove save arriv nick time conting kurdish soldier odd former peshmerga fighter liter face death join iraq nation armi controversi deploy baghdad part surg troop mainli american one beef secur bloodi capit near besieg hous kurdish soldier shot head shia gunmen identifi local member mahdi militia loyal shia firebrand muqtada al sadr told leav area swiftli compli american soldier sight still soon say three month surg began whether work half promis extra plu american troop earmark baghdad arriv sectarian murder mainli sunni shia militia fewer bomb includ suicid one sunni al qaeda link insurg frequent overal death toll bit still horrif mix area capit kurdish troop incorpor nation armi deploy resid american offic notic definit drop sectarian cleans violenc peopl confid secur forc say improv al amel shop open semblanc normal daili life resum expel sunni shia famili though still trickl return kurd welcom peopl say sunni arab al amel want restor order polit american danger shia militia gener nazir goran kurd command iraqi armi brigad capit say men oper effect capit hot zone mainli western baghdad still feel oblig avoid area eastern baghdad control sadrist case first loyalti kurd induct nation armi kurdish homeland region govern iraqi state iraqi stripe gener reckon iraqi armi less influenc shia group polic heavili infiltr shia militiamen armi recruit shia kurd less tenth offic sunni decis send kurdish unit iraqi armi baghdad controversi kurdistan mani kurd worri deploy drag sectarian conflict sunni shia arab kurd say battl far welcom surpris number iraqi arab even though often view kurd threat iraq fragil uniti,africa
9,job corrupt issu close fought contest presid reuter reuter even colour standard african politician raila odinga stand son kenya first vice presid oginga odinga mr odinga educ east germani spent six year solitari confin alleg involv coup fail toppl presid day daniel arap moi later mr odinga rehabilit enrich famili molass busi help defeat mr moi presidenti elect time throw support behind coalit led mwai kibaki campaign toppl mr kibaki becom presid elect due decemb th mirror kenyan polit revers everyth sooner later retir mr moi back mr kibaki mr odinga want build road modernis kenya railway call failur add inch track railway system sinc independ britain strong statement mediocr countri run also keen devolut recent visit wale convinc welsh style assembl would work kenya region ethnic luo mr odinga proud friendship barack obama american presidenti candid whose father also luo still mr odinga make mani queasi banker fret marxist youth foreign diplomat suspect authoritarian tendenc better wors victori ebulli german speaker would certainli upset cosi countri club polit characteris kenya sinc independ although rich remain outsid mr kibaki contrast insid minist sinc reput good manner enjoy play golf read p g wodehous novel despit gentl pursuit health worri say unabl work hard occasion nod conduct import govern busi reject call mr odinga televis presidenti debat said perform game campaign trail oppos devolut solid back cathol church kenya busi class presid countri better educ less authoritarian prosper better connect world notabl china ever decemb th last test opinion elect steadman local poll firm put mr odinga mr kibaki kalonzo musyoka former foreign minist born christian design win futur presidenti elect number hold mr odinga orang democrat movement also well parliamentari elect ahead mr kibaki umbrella parti nation uniti threat mr kibaki may achiev mandatori five countri eight provinc would disqualifi alreadi known badli western coast north eastern provinc campaign want mr kibaki lose creat enough job despit overvalu kenyan shill tourism agricultur boom economi grow year record mr kibaki fulfil dream turn kenya industrialis countri may also punish failur tackl egregi corrupt central pledg victori appointe charg ethic govern john githongo bulli exil uncov massiv fraud within govern mr githongo say presid first ignor flat oppos intens pressur donor mr kibaki remov two minist accus corrupt reappoint month later littl expect mr odinga would much better respect mr musyoka set leader exampl make asset incom public mani way young hold key mr odinga massiv lead among twenti someth bother vote chang certain integr vote process test break point scream mob mostli jobless young men sure use irregular make troubl kenyan hope fierc fought elect forg truer democraci caus bloodsh,africa
